"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
12,"NCT04214418","Study of Combination Therapy With the MEK Inhibitor, Cobimetinib, Immune Checkpoint Blockade, Atezolizumab, and the AUTOphagy Inhibitor, Hydroxychloroquine in KRAS-mutated Advanced Malignancies","MEKiAUTO","Not yet recruiting","No Results Available","Gastrointestinal Cancer","Drug: Cobimetinib|Drug: Hydroxychloroquine|Drug: Atezolizumab","Phase 1: Estimated maximum tolerated dose (MTD)|Phase 1: Incidence of Treatment-Emergent Adverse Events with drug combination (Safety and Tolerability)","Columbia University|Genentech, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","175","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AAAS4165|ML41472","March 2020","September 2022","September 2023","January 2, 2020",,"March 2, 2020","Columbia University Irving Medical Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04214418"
13,"NCT02467361","A Study of BBI608 Administered in Combination With Immune Checkpoint Inhibitors in Adult Patients With Advanced Cancers",,"Active, not recruiting","No Results Available","Cancer","Drug: BBI608|Drug: Ipilimumab|Drug: Nivolumab|Drug: Pembrolizumab","Determination of the safety and tolerability of BBI608 administered in combination with selected immunotherapeutic agent by assessing dose-limiting toxicities (DLTs)|Determination of the Recommended Phase 2 Dose (RP2D) by assessing dose-limiting toxicities (DLTs)|Assessment of the preliminary anti-tumor activity by performing tumor assessments every 8 weeks (Phase 2 portion)|Pharmacokinetic profile of BBI608 administered in combination with the selected immunotherapeutic agent as assessed by maximum plasma concentration and area under the curve|Pharmacodynamic activity of BBI608 administered in combination with the selected immunotherapeutic agent as assessed by biomarker analysis","Boston Biomedical, Inc","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","104","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BBI608-201CIT","August 2015","June 2020","July 2020","June 10, 2015",,"January 21, 2020","University of Colorado Cancer Center, Denver, Colorado, United States|Emory University Winship Cancer Institute, Atlanta, Georgia, United States|University of Chicago Medicine Comprehensive Cancer Center, Chicago, Illinois, United States|Massachusetts General Hospital Cancer Center, Boston, Massachusetts, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Weill Cornell Medical College, New York, New York, United States|Institute for Translational Oncology Research, Greenville, South Carolina, United States|MD Anderson Cancer Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT02467361"
14,"NCT03311334","A Study of DSP-7888 Dosing Emulsion in Combination With Immune Checkpoint Inhibitors in Adult Patients With Advanced Solid Tumors",,"Recruiting","No Results Available","Neoplasms|Melanoma|Non Small Cell Lung Cancer (NSCLC)|Head and Neck Squamous Cell Carcinoma (HNSCC)|Renal Cell Carcinoma (RCC)|Urothelial Neoplasm|Hepatocellular Carcinoma (HCC)|Microsatellite Instability-high or Mismatch Repair Deficient (MSI-H/dMMR)|Colorectal Cancer|Gastroesophageal Junction Adenocarcinoma|Gastric Cancer|Cervical Cancer|Primary Peritoneal Cancer|Platinum-resistant Ovarian Cancer (PROC)|Serous Epithelial Ovarian Cancer|Fallopian Tube Cancer","Drug: DSP-7888 Dosing Emulsion|Drug: Nivolumab|Drug: Pembrolizumab","Phase Ib: Determination of the safety and tolerability of DSP-7888 Dosing Emulsion given intradermally with a checkpoint inhibitor (Nivolumab or Pembrolizumab) in adult patients with advanced solid tumors by assessing dose-limiting toxicities (DLTs).|Phase Ib: Determination of the Recommended Phase 2 Dose (RP2D) by assessing dose-limiting toxicities (DLTs).|Phase II: Evaluation of the preliminary antitumor activity of DSP-7888 Dosing Emulsion administered with pembrolizumab in terms of Objective Response Rate (ORR) in patients with platinum-resistant ovarian cancer (PROC).|Phase Ib: Objective response rate (ORR)|Phase Ib: Disease control rate (DCR)|Phase Ib: Duration of response (DOR)|Phase Ib: Progression-free survival (PFS)|Phase Ib: 6-month PFS|Phase Ib: Overall survival (OS)|Phase II: DOR|Phase II: DCR|Phase II: PFS|Phase II: 6 month PFS|Phase II: OS|Phase II: Immune objective response rate (iORR)|Phase II: Immune disease control rate (iDCR)|Phase II: Immune progression-free survival (iPFS)|Phase II: Evaluation of the safety and tolerability of DSP-7888 Dosing Emulsion administered with pembrolizumab.","Boston Biomedical, Inc","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","84","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BBI-DSP7888-102CI","December 14, 2017","November 2021","May 2022","October 17, 2017",,"January 22, 2020","Decatur Memorial Hospital, Decatur, Illinois, United States|Horizon Oncology Research, Lafayette, Indiana, United States|St Vincent Frontier Cancer Center, Billings, Montana, United States|UC Health, LLC, Cincinnati, Ohio, United States|The University of Texas MD Anderson Cancer Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT03311334"
15,"NCT03775850","A Study of EDP1503 in Patients With Colorectal Cancer, Breast Cancer, and Checkpoint Inhibitor Relapsed Tumors",,"Recruiting","No Results Available","Colorectal Cancer Metastatic|Triple Negative Breast Cancer|Non Small Cell Lung Cancer|Bladder Cancer|GastroEsophageal Cancer|Renal Cell Carcinoma|MSI-H","Biological: EDP1503|Biological: Pembrolizumab","Safety and tolerability of EDP1503 alone and in combination with pembrolizumab as assessed per CTCAE v5.0|Safety and tolerability of EDP1503 alone and in combination with pembrolizumab|Evidence of anti-tumor activity of EDP1503 based on ORR|Progression Free Survival|Overall Survival","Evelo Biosciences, Inc.|SCRI Development Innovations, LLC|Merck Sharp & Dohme Corp.","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","120","Industry|Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","EDP1503-101","December 19, 2018","December 19, 2020","December 19, 2020","December 14, 2018",,"May 27, 2020","Highlands Oncology Group, Rogers, Arkansas, United States|Florida Cancer Specialists, Sarasota, Florida, United States|Stephenson Cancer Center, Oklahoma City, Oklahoma, United States|Tennessee Oncology, PLLC, Chattanooga, Tennessee, United States|Tennessee Oncology, Nashville, Tennessee, United States|Centre de Recherche du CHUM, Montréal, Quebec, Canada|Jewish General Hospital, Montréal, Quebec, Canada|CHU de Québec - Université Laval, Québec, Canada",,"https://ClinicalTrials.gov/show/NCT03775850"
16,"NCT02852655","A Pilot Surgical Trial To Evaluate Early Immunologic Pharmacodynamic Parameters For The PD-1 Checkpoint Inhibitor, Pembrolizumab (MK-3475), In Patients With Surgically Accessible Recurrent/Progressive Glioblastoma",,"Active, not recruiting","No Results Available","Brain Cancer","Drug: MK-3475","Tumor Infiltrating T Lymphocyte (TIL) Density|Incidence of Treatment-Emergent Adverse Events|Progression Free Survival","Dana-Farber Cancer Institute|Merck Sharp & Dohme Corp.","All","18 Years and older   (Adult, Older Adult)","Phase 1","35","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","16-225","September 21, 2016","March 28, 2018","August 2021","August 2, 2016",,"September 24, 2019","University of California, Los Angeles, Los Angeles, California, United States|University of California, San Francisco, San Francisco, California, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Memorial Sloan-Kettering Cancer, New York, New York, United States|UT, MD Anderson Cancer Center, Houston, Texas, United States|Huntsman Cancer Institute, Salt Lake City, Utah, United States",,"https://ClinicalTrials.gov/show/NCT02852655"
17,"NCT04327986","Immune Checkpoint Inhibitor M7824 and the Immunocytokine M9241 in Combination With Stereotactic Body Radiation Therapy (SBRT) in Adults With Advanced Pancreas Cancer",,"Not yet recruiting","No Results Available","Histologically or Cytologically Confirmed Pancreatic Cancer|Unresectable or Borderline Resectable Pancreatic Cancer|Pancreatic Neoplasms|Pancreatic Cancer|Metastatic Pancreatic Cancer","Drug: M7824|Drug: M9241|Radiation: SBRT","To determine a preliminary estimate of efficacy as best overall response (BOR) according to RECIST 1.1 of M7824 and M9241 in combination with SBRT as neoadjuvant/perioperative treatment in subjects with locally advanced pancreas cancer|To determine the safety and tolerability and the recommended phase 2 dose (RP2D) of M7824 and M9241 in combination with SBRT as neoadjuvant / perioperative treatment in subjects with pancreas cancer|To determine the PK of M7824 in combination with M9241|To assess overall survival (OS) in patients after completion of RT in combination with M9241 and M7824|To asses progression-free survival (PFS) for all participants|To asses progression-free survival (PFS) for participants who did not undergo surgical resection|To determine fraction of patients with LAPC who are able to undergo surgical resection after M7824 and M9241 in combination with SBRT treatment|For patients who underwent surgical resection after M7824 and M9241 in combination with SBRT treatment to determine time-to-recurrence of the disease|For patients who underwent surgical resection after M7824 and M9241 in combination with SBRT treatment to determine complete pathological response rate(s)","National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC)","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","52","NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","200074|20-C-0074","June 5, 2020","December 31, 2025","December 31, 2025","March 31, 2020",,"June 2, 2020","National Institutes of Health Clinical Center, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04327986"
18,"NCT04046133","Phase 1b/II Trial of Pembrolizumab Plus IMRT in Stage III/IV Carcinoma of Anus","CORINTH","Not yet recruiting","No Results Available","Anal Cancer Stage III A|Anal Cancer Stage III B","Drug: Pembrolizumab","Safety and tolerability- 30 days post CRT|Safety and tolerability- 6 weeks post CRT|Safety and tolerability - 12 weeks post CRT|Safety and tolerability - 6 months post CRT|Safety and tolerability- 9 months post CRT|Safety and tolerability- 12 months post CRT|Adherence to protocol treatment|Recruitment|Retention|Study eligibility|Clinical response assessment - 3 months post CRT|Clinical response assessment - 6 months post CRT|Clinical response assessment - 12 months follow up|Imaging response - 3 months post CRT|Imaging response - 6 months post CRT|Imaging response - 12 months follow up|Patient reported outcome - up to 6 months post CRT|Patient reported outcome - 12 months follow up","Cardiff University","All","18 Years and older   (Adult, Older Adult)","Phase 1","50","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SPON 1529-16","November 1, 2019","November 30, 2022","November 30, 2022","August 6, 2019",,"August 6, 2019",,,"https://ClinicalTrials.gov/show/NCT04046133"
19,"NCT03735290","A Study to Evaluate the Safety and Effectiveness of ILIxadencel Administered Into Tumors in Combination With Checkpoint Inhibitor (CPI) in Patients With ADvanced Cancer","ILIAD","Recruiting","No Results Available","Carcinoma, Squamous Cell of Head and Neck|Carcinoma, Non-Small-Cell Lung|Gastric Adenocarcinoma|Gastroesophageal Junction Adenocarcinoma|Non-small Cell Lung Cancer|Human Papilloma Virus","Biological: ilixadencel|Drug: Pembrolizumab","Frequency of adverse events (AEs) (Phase 1b)|Severity of adverse events (SAEs) (Phase 1b)|Number of Dose Limiting Toxicities (DLTs) (Phase 1b)|Number of subjects with clinically significant laboratory test abnormalities (Phase 1b)|Number of subjects with vital sign abnormalities (Phase 1b)|Antitumor Objective Response Rate (ORR) (Phase 2)|Antitumor Objective Response Rate (ORR) RECIST 1.1 (Phase 1b and Phase 2)|Antitumor Objective Response Rate (ORR) iRECIST (Phase 1b and Phase 2)|Clinical Benefit Rate (Phase 1b and Phase 2)|Number of circulating CD8 t-cell responses to tumor-specific or tumor-associated antigens (Phase 1b and Phase 2)|Duration of response (Phase 1b and Phase 2)|Time to Progression (TTP) (Phase 1b and Phase 2)|Progression-free Survival (PFS) (Phase 1b and Phase 2)|Overall Survival (OS) (Phase 1b and Phase 2)|Frequency of adverse events (AEs) (Phase 2)|Severity of adverse events (AEs) (Phase 2)|Number of Dose Limiting Toxicities (DLTs) (Phase 2)|Number of subjects with clinically significant laboratory test abnormalities (Phase 2)|Number of subjects with vital sign abnormalities (Phase 2)","Immunicum AB|PPD","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","150","Industry","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IM-202","January 14, 2019","December 2022","July 2023","November 8, 2018",,"December 20, 2019","Site 1010, Coral Gables, Florida, United States|Site 1006, Iowa City, Iowa, United States|Site 1011, Louisville, Kentucky, United States|Site 1001, Detroit, Michigan, United States|Site 1004, Chapel Hill, North Carolina, United States|Site 1009, Cleveland, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT03735290"
20,"NCT02903914","Arginase Inhibitor INCB001158 as a Single Agent and in Combination With Immune Checkpoint Therapy in Patients With Advanced/Metastatic Solid Tumors",,"Recruiting","No Results Available","Metastatic Cancer|Solid Tumors|Colorectal Cancer (CRC)|Gastric Cancer|Head and Neck Cancer|Lung Cancer|Renal Cell Carcinoma (RCC)|Bladder Cancer|UC (Urothelial Cancer)|Mesothelioma","Drug: INCB001158|Drug: Pembrolizumab","Safety and Tolerability of INCB001158 as a single agent and in combination with Pembrolizumab: Incidence of Adverse Events|Recommended Phase 2 Dose (RP2D) of INCB001158|RP2D of INCB001158 with Pembrolizumab|Plasma pharmacokinetic (PK) profile of INCB001158 alone and in combination with Pembrolizumab|Anti-tumor Activity of INCB001158 as Monotherapy and in Combination with Pembrolizumab for patients with advanced/metastatic solid tumors","Incyte Corporation","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","424","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","INCB 01158-101","September 14, 2016","August 28, 2020","August 28, 2020","September 16, 2016",,"February 27, 2020","University of South Alabama, Mobile, Alabama, United States|Honor Health/Pinnacle Oncology Hematology, Scottsdale, Arizona, United States|University of Arizona, Tucson, Arizona, United States|Georgetown, Washington, District of Columbia, United States|Johns Hopkins, Baltimore, Maryland, United States|BIDMC, Boston, Massachusetts, United States|DFCI, Boston, Massachusetts, United States|Henry Ford, Detroit, Michigan, United States|Sarah Cannon Research Institute at Tennessee Oncology, Nashville, Tennessee, United States|Vanderbilt, Nashville, Tennessee, United States|MD Anderson, Houston, Texas, United States|MD Anderson, Houston, Texas, United States|START, San Antonio, Texas, United States|Ospedale San Raffaele, Milan, Italy|Oncologica Azienda Ospedaliera Universitaria Senese, Siena, Italy|NKI, Amsterdam, Netherlands|Radboudumc, Nijmegen, Netherlands|Hospital Universitari Vall d'Hebron, Barcelona, Spain|Institut Catala d'Oncologia, Barcelona, Spain|START Madrid-HM CIOCC, Madrid, Spain",,"https://ClinicalTrials.gov/show/NCT02903914"
21,"NCT03257722","Pembrolizumab + Idelalisib for Lung Cancer Study","PIL","Recruiting","No Results Available","Non Small Cell Lung Cancer|Metastasis|Recurrence","Drug: Pembrolizumab|Drug: Idelalisib","Number of Participants With Dose-Limiting Toxicity (DLT) Events as Assessed by CTCAE v4.03|Dose-Finding Assessment for optimum dose of idelalisib in combination with pembrolizumab|Overall Response Rates (ORR) to combination therapy","Zhonglin Hao|Merck Sharp & Dohme Corp.|Gilead Sciences|Augusta University","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","40","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GCC-16053","September 26, 2017","August 2020","August 2021","August 22, 2017",,"September 29, 2017","Georgia Cancer Center at Augusta University, Augusta, Georgia, United States",,"https://ClinicalTrials.gov/show/NCT03257722"
22,"NCT03881488","Study of CTX-471 in Patients Post PD-1/PD-L1 Inhibitors in Metastatic or Locally Advanced Malignancies",,"Recruiting","No Results Available","Locally Advanced Solid Tumor|Metastatic Cancer","Drug: CTX-471","Number of participants with dose limiting toxicities (DLTs), treatment-emergent adverse events (TEAEs), and/or changes in clinical laboratory abnormalities|Dose(s) of CTX 471 to be examined in Part 2 and the recommended Phase 2 dose(s)|Maximum serum concentration (Cmax) of CTX-471|Area under the serum concentrations of CTX-471 versus time curve (AUC)|Half-life (t1/2) of serum concentrations of CTX-471|Development of anti-drug antibodies (ADAs) and/or neutralizing antibodies of CTX-471|Objective Response Rate (ORR) (Percentage of Participants With Objective Response) as per Response Evaluation Criteria in Solid Tumors (RECIST) Version 1.1|Duration of Response (DOR) as per Response Evaluation Criteria in Solid Tumors (RECIST) Version 1.1|Progression-Free Survival (PFS) as per Response Evaluation Criteria in Solid Tumors (RECIST) Version 1.1|Overall Survival (OS)","Compass Therapeutics|Iqvia Pty Ltd","All","18 Years and older   (Adult, Older Adult)","Phase 1","81","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CTX-471-001","May 17, 2019","March 2021","July 2021","March 19, 2019",,"April 3, 2020","Massachusetts General Hospital, Boston, Massachusetts, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|Washington University School of Medicine, Siteman Cancer Center, Saint Louis, Missouri, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Mt Sinai, New York, New York, United States|Duke University School of Medicine, Durham, North Carolina, United States|Institute for Translational Oncology Research (ITOR), Greenville, South Carolina, United States|Mary Crowley Cancer Research, Dallas, Texas, United States",,"https://ClinicalTrials.gov/show/NCT03881488"
23,"NCT03990233","A Trial of BI 765063 Monotherapy and in Combination With BI 754091 in Patients With Advanced Solid Tumours",,"Recruiting","No Results Available","Solid Tumor, Adult","Drug: BI 765063|Drug: BI 754091","Step 1 (dose escalation Parts A and B): Number of patients with Dose-Limiting Toxicities (DLTs) during the first treatment cycle|Step 1 (dose escalation Parts A and B): Maximum Tolerated Dose (MTD) determination|Step 2 (expansion monotherapy and combination Part C): Number of patients with DLT-like events during the whole treatment|Step 1: Number of patients with DLT-like events during the whole treatment|Step 1 and 2: Incidence and severity of all Adverse Events (AEs), Serious AEs (SAEs), AEs of special interest (AESIs), Immune related AEs (irAEs)|Step 2: Objective Response Rate (ORR) defined as best response of Complete Response (CR) and Partial Response (PR) as per RECIST v 1.1 criteria|Step 1 and 2: Cmax determination|Step 1 and 2: AUC 0-tz determination|Step 1 and 2: Percentage and evolution of SIRPα receptor occupancy (RO) in blood at pre, on-treatment and after the end of treatment","OSE Immunotherapeutics|Boehringer Ingelheim","All","18 Years and older   (Adult, Older Adult)","Phase 1","116","Industry","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1443-0001|2018-003830-34","April 16, 2019","December 31, 2022","December 31, 2022","June 18, 2019",,"June 28, 2019","Institut Jules Bordet, Brussels, Belgium|Institut Bergonie, Bordeaux, France|Centre Oscar Lambret, Lille, France|Centre Léon Berard, Lyon, France|Institut Claudius Regaud, Toulouse, France|Institut Gustave Roussy, Villejuif, France",,"https://ClinicalTrials.gov/show/NCT03990233"
24,"NCT04407247","Infliximab or Vedolizumab in Treating Immune Checkpoint Inhibitor-Related Colitis in Patients With Genitourinary Cancer or Melanoma",,"Not yet recruiting","No Results Available","Colitis|Lung Non-Small Cell Carcinoma|Malignant Genitourinary System Neoplasm|Malignant Solid Neoplasm|Melanoma","Biological: Infliximab|Biological: Vedolizumab","Clinical remission/response rate of immune-mediated colitis (IMC)|Treatment-related adverse events|Clinical remission/response rate of IMC|Complete weaning of corticosteroid|Recurrent immune-related diarrhea/colitis","M.D. Anderson Cancer Center|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","100","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2019-0276|NCI-2019-04986|P30CA016672","June 30, 2020","December 31, 2021","December 31, 2021","May 29, 2020",,"May 29, 2020","M D Anderson Cancer Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04407247"
25,"NCT03834662","A Trial of AVID200, a Transforming Growth Factor β (TGFβ) Inhibitor, in Patients Malignancies",,"Active, not recruiting","No Results Available","Malignant Solid Tumor","Drug: AVID200","Incidence of Treatment-Emergent Adverse Events","Formation Biologics","All","18 Years and older   (Adult, Older Adult)","Phase 1","19","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AVID200-03","January 7, 2019","July 30, 2020","August 1, 2020","February 8, 2019",,"May 12, 2020","START Midwest Clinic, Grand Rapids, Michigan, United States|MD Anderson Cancer Center, Houston, Texas, United States|Princess Margaret Cancer Centre, Toronto, Canada",,"https://ClinicalTrials.gov/show/NCT03834662"
26,"NCT04387084","Short-term Fasting Prior to PD-1/PD-L1 Inhibitor Therapy for of Advanced or Metastatic Skin Malignancy",,"Not yet recruiting","No Results Available","Advanced Malignant Skin Neoplasm|Metastatic Malignant Skin Neoplasm","Drug: Atezolizumab|Drug: Avelumab|Biological: Cemiplimab|Biological: Durvalumab|Biological: Nivolumab|Biological: Pembrolizumab|Other: Quality-of-Life Assessment|Other: Short-Term Fasting","Percentage of patients completely adhering to 3 cycles of short term fasting (STF) (9 days of fasting)|Percentage of patients who develop unacceptable fasting-related toxicity|Percentage of patients who can partially adhere to 3 cycles of STF (9 days of fasting)|Incidence of acceptable fasting related toxicity","University of Southern California|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Phase 1","16","Other|NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","0S-20-1|NCI-2020-01590|P30CA014089","June 1, 2020","June 1, 2022","June 1, 2023","May 13, 2020",,"May 13, 2020","Los Angeles County-USC Medical Center, Los Angeles, California, United States|USC / Norris Comprehensive Cancer Center, Los Angeles, California, United States",,"https://ClinicalTrials.gov/show/NCT04387084"
27,"NCT04095273","Study to Test How Well Patients With Advanced Solid Tumors Respond to Treatment With the ATR Inhibitor BAY1895344 in Combination With Pembrolizumab, to Find the Optimal Dose for Patients, How the Drug is Tolerated and the Way the Body Absorbs, Distributes and Discharges the Drug",,"Recruiting","No Results Available","Advanced Solid Tumors","Drug: BAY1895344|Drug: Pembrolizumab","Incidence of Treatment Emergent Adverse Events (TEAEs) including Treatment Emergent Serious Adverse Events (TESAEs)|Severity of Treatment Emergent Adverse Events (TEAEs) including Treatment Emergent Serious Adverse Events (TESAEs)|Frequency of Dose limiting toxicities (DLTs) at each dose level during dose escalation of BAY1895344|Cmax of BAY1895344|AUC(0-12) of BAY1895344|Cmax,md of BAY1895344|AUC(0-12)md of BAY1895344|Incidence of Complete response (CR)|Incidence of partial response (PR)|Incidence of stable disease (SD)|Incidence of progressive disease (PD)|Objective Response Rate (ORR)|Disease control rate (DCR)","Bayer","All","18 Years and older   (Adult, Older Adult)","Phase 1","80","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","19741|2018-003420-36","September 30, 2019","September 13, 2022","October 20, 2022","September 19, 2019",,"May 20, 2020","Stanford University, Palo Alto, California, United States|Yale Cancer Center, New Haven, Connecticut, United States|Johns Hopkins Hospital/Health System, Baltimore, Maryland, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|Weill Cornell Medical College, New York, New York, United States|Levine Cancer Institute, Charlotte, North Carolina, United States|Ohio State University, Columbus, Ohio, United States|University of Texas MD Anderson Cancer Center, Houston, Texas, United States|Universitätsklinikum Heidelberg, Heidelberg, Baden-Württemberg, Germany|Eberhard-Karls-Universität Tübingen, Tübingen, Baden-Württemberg, Germany|Universitätsklinikum Carl Gustav Carus Dresden, Dresden, Sachsen, Germany|Fundacion Jimenez Diaz (Clinica de la Concepcion), Madrid, Spain|Hospital Madrid Norte Sanchinarro, Madrid, Spain|Royal Marsden NHS Trust (Surrey), Sutton, Surrey, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04095273"
